date,pm25,pm10,no2,so2,co,AQI
2022-01-03, 26, 7, 22, 3, , 7
2022-01-04, 25, 5, 3, 3, , 5
2022-01-05, 59, 62, 3, 3, , 62
2022-01-06, 123, 8, 5, 3, , 8
2022-01-07, 18, 9, 4, 3, , 9
2022-01-08, 44, 6, 5, 3, , 6
2022-01-09, 42, 101, 6, 2, , 6
2022-01-10, 414, 45, 9, 3, , 9
2022-01-11, 59, 9, 11, 3, , 9
2022-01-12, 30, 8, 10, 3, , 8
2022-01-13, 28, 6, 7, 3, , 7
2022-01-14, 15, 6, 8, 3, , 8
2022-01-15, 17, 7, 3, 3, , 7
2022-01-16, 19, 7, 5, 3, , 7
2022-01-17, 18, 6, 16, 3, , 6
2022-01-18, 16, 9, 25, 3, , 9
2022-01-19, 23, 8, 6, 3, , 8
2022-01-20, 14, 9, 10, 3, , 9
2022-01-21, 22, 9, 6, 3, , 9
2022-01-22, 20, 9, 2, 3, , 9
2022-01-23, 40, 13, 12, 3, , 40
2022-01-24, 19, 10, 3, 3, , 3
2022-01-25, 26, 11, 12, 3, , 3
2022-01-26, 15, 11, 14, 3, , 3
2022-01-27, 19, 12, 7, 3, , 7
2022-01-28, 41, 24, 17, 3, , 41
2022-01-29, 59, 8, 1, 3, , 8
2022-01-30, 31, 11, 11, 3, , 31
2022-01-31, 17, 8, 17, 3, , 8
2021-10-01, 40, 8, , 2, , 8
2021-10-02, 31, 6, , 1, , 6
2021-10-03, 27, 10, , 2, , 27
2021-10-04, 48, 8, , 2, , 8
2021-10-05, 26, 7, , 2, , 7
2021-10-06, 52, 20, , 1, , 52
2021-10-07, 171, 9, , 1, , 9
2021-10-08, 15, 15, , 1, , 15
2021-10-09, 27, 8, , 2, , 8
2021-10-10, 17, 10, , 2, , 2
2021-10-11, 26, 79, , 1, , 79
2021-10-12, 282, 8, , 1, , 8
2021-10-13, 27, 16, , 2, , 27
2021-10-14, 48, 16, , 2, , 48
2021-10-15, 25, 7, , 2, , 7
2021-10-16, 15, 2, , 2, , 2
2021-10-17, 12, 5, , 2, , 5
2021-10-18, 11, 8, , 2, , 8
2021-10-19, 54, 14, , 2, , 54
2021-10-20, 91, 15, , 2, , 91
2021-10-21, 37, 6, , 2, , 6
2021-10-22, 16, 5, , 2, , 5
2021-10-23, 14, 6, , 1, , 6
2021-10-24, 10, 14, , 2, , 2
2021-10-25, 26, 5, , 1, , 5
2021-10-26, 26, 15, , 2, , 26
2021-10-27, 31, 25, , 3, , 31
2021-10-28, 71, 10, , 2, , 71
2021-10-29, 39, 27, , 3, , 39
2021-10-30, 81, 9, , 2, , 9
2021-10-31, 48, 17, , 2, , 48
2021-11-01, 51, 11, , 2, , 51
2021-11-02, 110, 15, , 2, , 2
2021-11-03, 34, 11, , 2, , 34
2021-11-04, 22, 11, , 2, , 22
2021-11-05, 23, 5, , 2, , 5
2021-11-06, 15, 5, , 2, , 5
2021-11-07, 11, 6, , 2, , 6
2021-11-08, 12, 6, , 2, , 6
2021-11-09, 14, 15, , 2, , 2
2021-11-10, 34, 13, , 2, , 34
2021-11-11, 54, 27, , 2, , 54
2021-11-12, 77, 4, , 2, , 77
2021-11-13, 74, 116, , 1, , 74
2021-11-14, 115, 10, , 2, , 2
2021-11-15, 23, 10, , 2, , 23
2021-11-16, 32, 9, , 3, , 9
2021-11-17, 21, 8, , 2, , 8
2021-11-18, 14, 9, , 3, , 9
2021-11-19, 17, 10, , 3, , 3
2021-11-20, 18, 9, , 3, , 9
2021-11-21, 15, 9, , 3, , 9
2021-11-22, 13, 10, , 3, , 3
2021-11-23, 18, 14, , 2, , 2
2021-11-24, 36, 9, , 3, , 9
2021-11-25, 15, 33, 23, 3, , 33
2021-11-26, 109, 9, 9, 2, , 9
2021-11-27, 26, 5, 6, 2, , 6
2021-11-28, 10, 6, 9, 3, , 9
2021-11-29, 24, 6, 13, 3, , 6
2021-11-30, 16, 8, 18, 3, , 8
2021-12-01, 25, 9, 13, 3, , 9
2021-12-02, 17, 9, 15, 2, , 9
2021-12-03, 17, 10, 24, 3, , 3
2021-12-04, 24, 55, 2, 2, , 55
2021-12-05, 97, 7, 14, 3, , 97
2021-12-06, 15, 9, 18, 3, , 9
2021-12-07, 22, 7, 4, 3, , 7
2021-12-08, 17, 47, 17, 3, , 47
2021-12-09, 62, 7, 19, 3, , 7
2021-12-10, 23, 5, 3, 2, , 5
2021-12-11, 21, 8, 1, 2, , 8
2021-12-12, 25, 8, 13, 3, , 8
2021-12-13, 16, 6, 10, 3, , 6
2021-12-14, 20, , , , , 20
2021-12-22, 20, 35, 20, 3, , 35
2021-12-23, 130, 16, 20, 3, , 3
2021-12-24, 49, 6, 2, 3, , 6
2021-12-25, 13, 5, 3, 3, , 5
2021-12-26, 17, 9, 26, 3, , 9
2021-12-27, 18, 9, 21, 3, , 9
2021-12-28, 29, 9, 9, 3, , 9
2021-12-29, 77, 46, 31, 4, , 77
2021-12-30, 143, 9, 2, 3, , 9
2021-12-31, 55, 11, , 3, , 55
2022-01-01, 135, 11, 4, 3, , 4
2022-01-02, 144, 8, 22, 4, , 8
2021-07-01, 25, 17, 8, 14, , 8
2021-07-02, 61, 31, 9, 27, , 9
2021-07-03, 85, 21, 6, 8, , 85
2021-07-04, 55, 14, 9, 4, , 9
2021-07-05, 35, 341, 8, 5, , 8
2021-07-06, 338, 14, 11, 7, , 7
2021-07-07, 32, 8, 7, 1, , 8
2021-07-08, 15, 9, 3, 1, , 9
2021-07-09, 34, 6, 2, , , 6
2021-07-10, 16, 5, 2, 1, , 5
2021-07-11, 13, 6, 4, , , 6
2021-07-12, 10, 6, 4, , , 6
2021-07-13, 14, 6, 9, 1, , 9
2021-07-14, 13, 8, 4, 1, , 8
2021-07-15, 13, 8, 9, 1, , 9
2021-07-16, 14, 6, 6, 1, , 6
2021-07-17, 16, 11, 6, 14, , 6
2021-07-18, 35, 20, 8, 39, , 8
2021-07-19, 74, 6, 10, 1, , 74
2021-07-20, 11, 7, 9, 1, , 9
2021-07-21, 20, 4, 3, , , 4
2021-07-22, 7, 4, 6, 1, , 7
2021-07-23, 8, 4, 5, 1, , 8
2021-07-24, 10, 6, 2, 1, , 6
2021-07-25, 15, 6, 3, , , 6
2021-07-26, 12, 7, 8, 1, , 8
2021-07-27, 24, 6, 8, 2, , 8
2021-07-28, 25, 9, 10, 3, , 9
2021-07-29, 35, 9, 11, 2, , 9
2021-07-30, 48, 9, 6, 2, , 9
2021-07-31, 31, 7, 3, 1, , 7
2021-08-01, 22, 7, 6, 1, , 7
2021-08-02, 16, 6, 5, 1, , 6
2021-08-03, 11, 5, 7, 1, , 7
2021-08-04, 12, 6, 10, 1, , 6
2021-08-05, 20, 7, 1, 1, , 7
2021-08-06, 25, 9, , 3, , 9
2021-08-07, 40, 6, , 1, , 6
2021-08-08, 28, 7, , 1, , 7
2021-08-09, 22, 9, , 2, , 9
2021-08-10, 46, 12, , 2, , 46
2021-08-11, 48, 14, , 8, , 8
2021-08-12, 60, 10, , 3, , 60
2021-08-13, 35, 8, , 1, , 8
2021-08-14, 26, 8, , 1, , 8
2021-08-15, 19, 8, , 1, , 8
2021-08-16, 18, 6, 1, 1, , 6
2021-08-17, 15, 6, , 1, , 6
2021-08-18, 17, 6, , 1, , 6
2021-08-19, 12, 5, , 1, , 5
2021-08-20, 13, 6, , 1, , 6
2021-08-21, 16, 4, , 1, , 4
2021-08-22, 7, 4, , 1, , 7
2021-08-23, 13, 4, , 1, , 4
2021-08-24, 9, 5, , 1, , 9
2021-08-25, 13, 4, , 1, , 4
2021-08-26, 16, 5, , 1, , 5
2021-08-27, 11, 8, , 3, , 8
2021-08-28, 20, 8, , 2, , 8
2021-08-29, 17, 7, , 2, , 7
2021-08-30, 21, 9, , 2, , 9
2021-08-31, 24, 7, , 1, , 7
2021-09-01, 13, 7, , 1, , 7
2021-09-02, 15, 6, , 1, , 6
2021-09-03, 14, 7, , , , 7
2021-09-04, 18, 7, , 1, , 7
2021-09-05, 13, 8, , 1, , 8
2021-09-06, 12, 7, , 1, , 7
2021-09-07, 13, 8, , 1, , 8
2021-09-08, 15, 9, , 2, , 9
2021-09-09, 28, 7, , 2, , 7
2021-09-10, 10, 6, , 1, , 6
2021-09-11, 15, 4, , 1, , 4
2021-09-12, 17, 6, , 1, , 6
2021-09-13, 26, 8, , 1, , 8
2021-09-14, 24, 6, , 1, , 6
2021-09-15, 12, 7, , 1, , 7
2021-09-16, 13, 7, , 1, , 7
2021-09-17, 26, 6, , 5, , 6
2021-09-18, 15, 5, , 2, , 5
2021-09-19, 17, 6, , 1, , 6
2021-09-20, 16, 43, , 1, , 43
2021-09-21, 20, 885, , 2, , 885
2021-09-22, 170, 130, , 1, , 170
2021-09-23, 12, 9, , 1, , 9
2021-09-24, 13, 6, , 1, , 6
2021-09-25, 12, 9, , 1, , 9
2021-09-26, 59, 21, , 1, , 59
2021-09-27, 104, 8, , 1, , 8
2021-09-28, 23, 11, , 2, , 23
2021-09-29, 19, 9, , 1, , 9
2021-09-30, 33, 11, , 2, , 33
2021-04-01, 24, 22, 9, , , 9
2021-04-02, 20, 11, 8, 1, , 8
2021-04-03, 12, 13, 3, , , 3
2021-04-04, 46, 14, 5, , , 5
2021-04-05, 46, 39, 11, 1, , 46
2021-04-06, 101, 16, 11, 6, , 6
2021-04-07, 34, 11, 9, 1, , 9
2021-04-08, 40, 27, 15, 1, , 40
2021-04-09, 75, 29, 12, 11, , 75
2021-04-10, 59, 5, 4, 1, , 59
2021-04-11, 14, 25, 5, , , 5
2021-04-12, 49, 34, 8, 12, , 8
2021-04-13, 69, 22, 8, , , 8
2021-04-14, 54, 5, 4, , , 54
2021-04-15, 11, 12, 8, , , 8
