date,pm25,pm10,no2,so2,co
2022/1/3, 26, 7, 22, 3, 
2022/1/4, 25, 5, 3, 3, 
2022/1/5, 59, 62, 3, 3, 
2022/1/6, 123, 8, 5, 3, 
2022/1/7, 18, 9, 4, 3, 
2022/1/8, 44, 6, 5, 3, 
2022/1/9, 42, 101, 6, 2, 
2022/1/10, 414, 45, 9, 3, 
2022/1/11, 59, 9, 11, 3, 
2022/1/12, 30, 8, 10, 3, 
2022/1/13, 28, 6, 7, 3, 
2022/1/14, 15, 6, 8, 3, 
2022/1/15, 17, 7, 3, 3, 
2022/1/16, 19, 7, 5, 3, 
2022/1/17, 18, 6, 16, 3, 
2022/1/18, 16, 9, 25, 3, 
2022/1/19, 23, 8, 6, 3, 
2022/1/20, 14, 9, 10, 3, 
2022/1/21, 22, 9, 6, 3, 
2022/1/22, 20, 9, 2, 3, 
2022/1/23, 40, 13, 12, 3, 
2022/1/24, 19, 10, 3, 3, 
2022/1/25, 26, 11, 12, 3, 
2022/1/26, 15, 11, 14, 3, 
2022/1/27, 19, 12, 7, 3, 
2022/1/28, 41, 24, 17, 3, 
2022/1/29, 59, 8, 1, 3, 
2022/1/30, 31, 11, 11, 3, 
2022/1/31, 17, 8, 17, 3, 
2021/10/1, 40, 8, , 2, 
2021/10/2, 31, 6, , 1, 
2021/10/3, 27, 10, , 2, 
2021/10/4, 48, 8, , 2, 
2021/10/5, 26, 7, , 2, 
2021/10/6, 52, 20, , 1, 
2021/10/7, 171, 9, , 1, 
2021/10/8, 15, 15, , 1, 
2021/10/9, 27, 8, , 2, 
2021/10/10, 17, 10, , 2, 
2021/10/11, 26, 79, , 1, 
2021/10/12, 282, 8, , 1, 
2021/10/13, 27, 16, , 2, 
2021/10/14, 48, 16, , 2, 
2021/10/15, 25, 7, , 2, 
2021/10/16, 15, 2, , 2, 
2021/10/17, 12, 5, , 2, 
2021/10/18, 11, 8, , 2, 
2021/10/19, 54, 14, , 2, 
2021/10/20, 91, 15, , 2, 
2021/10/21, 37, 6, , 2, 
2021/10/22, 16, 5, , 2, 
2021/10/23, 14, 6, , 1, 
2021/10/24, 10, 14, , 2, 
2021/10/25, 26, 5, , 1, 
2021/10/26, 26, 15, , 2, 
2021/10/27, 31, 25, , 3, 
2021/10/28, 71, 10, , 2, 
2021/10/29, 39, 27, , 3, 
2021/10/30, 81, 9, , 2, 
2021/10/31, 48, 17, , 2, 
2021/11/1, 51, 11, , 2, 
2021/11/2, 110, 15, , 2, 
