address,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
reykjavik,2018-01-01,-3.0,-7.9,-4.8,-3.5,-12.0,-6.9,-7.4,82.6,0.0,0,0.0,,0.0,0.0,,13.0,12.1,999.7,67.3,13.6,2.7,0.2,0,
reykjavik,2018-01-02,2.0,-7.6,-0.7,-2.8,-9.7,-5.2,-8.8,56.6,0.0,0,0.0,,4.0,2.5,40.7,29.5,76.7,994.1,66.4,19.7,3.0,0.2,0,
reykjavik,2018-01-03,1.0,-3.0,-1.4,-1.3,-8.7,-5.1,-10.9,49.2,0.0,0,0.0,,0.0,3.8,,20.5,80.5,1000.7,83.0,18.6,4.2,0.4,0,
reykjavik,2018-01-04,0.0,-3.1,-0.8,-2.6,-8.6,-5.4,-12.4,41.4,0.0,0,0.0,,0.0,3.1,,24.1,86.4,1005.4,59.9,20.0,7.4,0.6,0,
reykjavik,2018-01-05,1.0,-4.0,-1.6,-2.1,-8.4,-6.0,-9.6,54.8,0.0,0,0.0,,0.0,1.1,,22.3,92.4,1019.5,65.5,18.1,3.9,0.3,0,
reykjavik,2018-01-06,4.0,-1.0,1.0,1.3,-5.3,-1.9,-0.8,87.7,4.788,100,33.33,2.0,0.0,0.0,83.5,37.1,178.9,1014.6,83.0,10.7,4.3,0.3,0,
reykjavik,2018-01-07,7.0,-1.3,3.0,2.6,-8.6,-2.2,1.0,86.8,7.218,100,25.0,2.0,0.0,0.0,66.6,42.0,120.8,999.2,97.6,9.2,2.1,0.2,0,
reykjavik,2018-01-08,4.1,1.5,2.7,3.0,-3.5,-0.7,0.0,82.5,2.275,100,20.83,2.0,0.0,0.0,51.8,33.5,115.2,990.7,89.3,12.8,5.1,0.5,0,
reykjavik,2018-01-09,7.3,3.6,6.0,4.5,-0.6,1.6,2.7,79.4,14.206,100,29.17,1.0,0.0,0.0,114.8,66.7,116.5,980.9,96.9,10.0,5.9,0.5,0,
reykjavik,2018-01-10,4.3,0.0,2.5,3.2,-4.7,-0.7,-0.2,82.7,11.841,100,25.0,2.0,0.0,0.0,,25.1,126.0,991.1,63.4,14.8,3.0,0.2,0,
reykjavik,2018-01-11,8.0,1.0,3.6,3.3,-5.0,-0.9,0.4,80.0,14.273,100,29.17,2.0,0.0,0.0,103.8,68.5,122.4,996.2,74.2,12.5,1.1,0.0,0,
reykjavik,2018-01-12,8.0,2.0,4.7,3.2,-1.9,0.6,0.8,75.9,3.48,100,12.5,1.0,0.0,0.0,66.7,46.5,161.8,984.3,80.8,12.9,4.5,0.4,0,
reykjavik,2018-01-13,3.0,1.0,1.9,-1.1,-4.7,-3.3,-0.6,83.6,5.74,100,25.0,2.0,0.0,0.0,53.6,31.7,175.9,987.2,87.0,11.6,2.2,0.2,0,
reykjavik,2018-01-14,3.0,-4.3,-1.8,-0.7,-13.9,-9.8,-4.0,85.1,14.859000000000002,100,33.33,2.0,5.0,3.1,96.5,63.0,237.4,960.5,85.6,7.0,3.5,0.3,0,
reykjavik,2018-01-15,1.0,-6.0,-2.3,-3.0,-10.4,-7.3,-6.2,75.3,2.427,100,20.83,2.0,0.0,5.0,77.8,48.3,279.6,958.5,71.8,14.8,6.5,0.5,0,
reykjavik,2018-01-16,-1.0,-4.5,-2.6,-3.7,-11.8,-8.5,-7.0,72.0,0.1,100,4.17,2.0,0.0,4.8,66.6,59.4,334.8,971.3,62.0,14.4,8.0,0.6,1,
reykjavik,2018-01-17,-1.0,-6.0,-3.3,-2.5,-8.4,-5.7,-6.0,81.6,0.664,100,12.5,3.0,1.0,4.7,,18.3,97.5,984.4,69.4,15.3,9.4,0.8,1,
reykjavik,2018-01-18,-3.0,-7.0,-4.7,-5.0,-12.0,-8.9,-8.3,76.6,0.7140000000000001,100,12.5,3.0,0.0,5.0,,18.3,90.6,986.8,61.0,14.4,10.8,0.9,1,
reykjavik,2018-01-19,-3.5,-10.0,-7.0,-3.5,-13.1,-8.4,-11.6,70.4,0.036000000000000004,100,4.17,3.0,0.0,5.0,,9.4,98.2,997.4,28.3,21.4,15.1,1.3,1,
reykjavik,2018-01-20,-1.4,-7.0,-4.7,-1.4,-10.8,-6.3,-8.3,76.4,0.0,0,0.0,,0.0,4.8,,12.0,125.5,1004.5,28.6,21.7,10.5,0.9,1,
reykjavik,2018-01-21,2.0,-5.1,-0.4,-3.2,-9.1,-6.0,-8.4,55.5,0.0,0,0.0,,0.0,4.1,57.6,40.7,73.8,999.7,78.3,21.7,10.4,0.8,1,
reykjavik,2018-01-22,3.0,0.7,1.7,-3.1,-6.6,-4.6,-5.8,59.6,0.769,100,8.33,2.0,0.0,3.6,74.2,48.3,84.2,991.1,97.8,13.6,2.2,0.1,0,
reykjavik,2018-01-23,4.0,1.0,2.4,-0.2,-4.9,-1.7,-1.9,74.0,6.864,100,16.67,2.0,0.0,2.1,61.2,42.4,80.8,982.8,82.6,18.0,14.3,1.2,1,
reykjavik,2018-01-24,3.0,0.0,1.2,-2.1,-7.6,-4.4,-4.8,64.4,0.0,0,0.0,,0.0,0.8,68.4,42.5,22.6,989.9,78.9,18.4,7.0,0.5,0,
reykjavik,2018-01-25,0.0,-6.1,-3.3,-2.3,-10.8,-6.7,-7.5,72.9,0.036000000000000004,100,4.17,2.0,0.0,0.0,63.0,44.6,32.2,1010.4,56.2,19.7,16.2,1.4,1,
reykjavik,2018-01-26,4.0,-4.9,0.5,2.7,-9.1,-3.8,-3.4,74.8,0.528,100,16.67,2.0,0.0,0.0,,31.7,80.3,999.7,95.5,13.9,1.6,0.0,0,
reykjavik,2018-01-27,3.1,1.0,1.8,2.2,-2.7,-0.5,-0.1,87.5,5.365,100,16.67,2.0,0.0,0.0,,24.1,152.2,989.0,88.0,12.7,1.9,0.0,0,
reykjavik,2018-01-28,2.3,-1.0,0.9,2.3,-4.7,-2.2,-1.1,86.6,1.642,100,29.17,2.0,2.9,1.3,38.9,24.1,166.8,994.7,74.3,15.1,7.9,0.6,0,
reykjavik,2018-01-29,0.5,-1.1,-0.2,-2.5,-6.8,-4.0,-1.9,88.3,0.9740000000000001,100,20.83,2.0,1.8,4.0,44.6,33.5,171.2,1004.7,85.2,12.6,17.0,1.4,1,
