address,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
reykjavik,2020-07-01,12.0,8.2,10.3,12.0,5.9,9.4,7.9,86.0,1.9269999999999998,100,12.5,1.0,0.0,0.0,,15.6,259.2,1014.3,90.3,9.8,272.6,23.3,7,
reykjavik,2020-07-02,15.5,8.1,11.9,15.5,8.1,11.9,6.8,71.9,0.035,100,4.17,1.0,0.0,0.0,,21.6,226.7,1006.3,46.9,12.9,339.3,29.1,8,
reykjavik,2020-07-03,14.5,9.3,12.0,14.5,8.7,11.9,4.5,60.8,0.106,100,12.5,1.0,0.0,0.0,,22.6,125.6,1002.7,66.2,22.1,331.4,28.6,8,
reykjavik,2020-07-04,12.6,8.9,10.5,12.6,7.2,10.1,4.9,68.5,0.106,100,12.5,1.0,0.0,0.0,,19.9,291.1,999.9,82.5,19.3,234.0,20.5,6,
reykjavik,2020-07-05,16.3,8.2,12.6,16.3,7.6,12.5,6.9,69.3,0.105,100,12.5,1.0,0.0,0.0,,26.5,318.7,1006.0,39.2,16.9,317.0,27.6,8,
reykjavik,2020-07-06,16.0,7.4,12.5,16.0,6.3,12.5,4.4,58.8,0.14300000000000002,100,16.67,1.0,0.0,0.0,,19.7,314.3,1013.4,25.6,23.7,311.3,26.9,7,
reykjavik,2020-07-07,12.8,7.9,10.7,12.8,6.5,10.5,6.6,75.8,0.141,100,16.67,1.0,0.0,0.0,,16.1,258.2,1014.6,48.4,17.7,266.5,23.0,7,
reykjavik,2020-07-08,9.3,8.3,8.9,8.2,6.3,7.0,4.7,75.1,0.142,100,16.67,1.0,0.0,0.0,,16.9,263.2,1013.6,91.5,15.3,215.8,18.6,6,
reykjavik,2020-07-09,12.2,9.3,10.8,12.2,7.2,10.0,5.3,69.2,0.142,100,12.5,1.0,0.0,0.0,,28.6,307.3,1014.5,74.3,21.1,133.3,11.3,4,
reykjavik,2020-07-10,11.1,9.8,10.6,11.1,7.1,10.2,5.3,70.0,0.036000000000000004,100,8.33,1.0,0.0,0.0,,19.7,296.3,1016.4,79.6,14.3,177.1,15.2,5,
reykjavik,2020-07-11,11.8,9.6,10.7,11.8,7.7,10.3,7.9,82.8,0.14300000000000002,100,16.67,1.0,0.0,0.0,,19.0,223.7,1012.2,84.6,13.1,88.7,7.6,2,
reykjavik,2020-07-12,12.0,9.9,10.9,12.0,7.6,10.6,9.3,89.9,9.33,100,54.17,1.0,0.0,0.0,,17.0,180.7,1010.3,90.0,11.2,111.7,9.7,4,
reykjavik,2020-07-13,13.5,9.8,11.3,13.5,8.0,10.8,7.8,79.6,6.069,100,16.67,1.0,0.0,0.0,,13.2,278.8,1009.8,78.8,17.1,216.2,18.5,6,
reykjavik,2020-07-14,13.9,10.3,12.1,13.9,10.3,12.1,8.9,80.9,0.172,100,20.83,1.0,0.0,0.0,,16.4,32.7,1009.2,76.6,19.0,110.5,9.4,3,
reykjavik,2020-07-15,13.0,10.7,11.3,13.0,10.7,11.3,9.7,90.2,12.184000000000001,100,50.0,1.0,0.0,0.0,,23.8,109.9,1002.0,77.2,10.0,107.6,9.3,4,
reykjavik,2020-07-16,13.2,9.9,11.4,13.2,8.2,11.3,9.0,85.5,6.2620000000000005,100,25.0,1.0,0.0,0.0,,18.5,324.8,982.9,70.8,11.6,69.1,5.9,2,
